F0-Autocorrelação;F0-FFT;F1-FFT;F2-FFT;F3-FFT;F4-FFT;E0-FFT;E1-FFT;E2-FFT;E3-FFT;E4-FFT
161,48024;170;317;496;652;822;312,15409;192,08699;58,365258;53,683729;32,106818
167,979;163;303;356;473;532;502,57752;259,3942;153,62024;147,95615;79,013322
140,14599;154;279;423;492;570;333,84024;258,85381;89,237603;42,566036;40,202309
161,20907;171;331;478;628;747;236,0416;110,79759;61,005611;41,341991;30,481946
142,43323;138;284;447;558;610;416,39101;240,5224;87,075639;56,949004;32,693389
146,56489;139;190;300;362;492;506,13008;256,61608;220,96823;97,915215;76,483897
157,50615;158;303;461;770;902;383,61855;243,07381;113,00442;87,717266;37,896636
142,01183;136;285;411;591;698;733,10031;382,9217;102,28579;87,742561;59,786721
147,91988;296;593;741;1039;1186;924,73228;263,31799;77,511331;54,321578;35,738386
140,24836;146;288;435;599;738;243,46837;144,46794;60,087889;29,322791;22,03866
145,12472;157;277;424;571;649;497,83643;248,67767;79,857048;69,072523;46,155745
169,9115;170;340;518;691;852;638,96306;622,2521;252,31279;153,31476;79,087181
159,07208;318;639;959;1110;1243;375,88771;110,65082;76,317726;21,341696;16,002284
181,64617;169;361;538;588;743;212,08086;139,02213;49,501277;31,92597;31,208517
172,66187;170;345;689;1054;1212;364,17342;140,38503;59,138795;17,729226;13,113838
179,94377;359;543;896;951;1072;271,48734;78,929485;31,756836;17,22509;14,28812
171,73524;171;350;524;690;1031;439,59403;160,6064;83,638109;75,010649;40,714329
162,84987;163;328;482;549;639;550,93212;158,49987;123,4759;50,455044;47,313351
188,79056;190;380;561;647;743;364,92659;126,10996;71,485619;30,9422;23,465472
177,61332;179;352;537;717;885;354,38809;233,18277;95,040347;55,160179;36,33086
155,08885;134;319;462;584;780;331,91531;219,22647;93,070464;44,975061;39,029076
160,401;157;323;468;628;794;376,55544;264,15222;87,051558;62,54975;49,840095
178,77095;180;356;533;732;894;502,71504;273,2635;168,97581;71,059328;64,455353
173,2852;180;352;522;678;863;241,97613;203,5548;112,52277;60,614393;44,946994
160,401;161;322;639;802;976;361,37713;194,08155;24,931588;19,344118;17,080336
180,62088;192;349;545;743;874;406,36152;237,83083;55,60072;54,320988;39,436277
186,40777;201;372;555;731;781;278,23;102,51549;59,116792;30,960992;20,828069
157,11948;160;318;480;625;782;721,73956;456,38893;153,48686;153,44917;118,51083
164,94845;164;333;493;655;817;572,71932;245,54384;138,71325;107,55374;64,882961
172,66187;171;347;523;684;834;413,51977;223,33496;131,42753;75,49631;39,89882
173,2852;193;337;387;531;660;197,94137;193,54374;138,33365;82,540281;70,395383
146,9013;153;289;436;608;726;400,74091;240,26323;118,67832;56,653259;30,925205
166,81147;183;334;490;674;814;236,48305;161,62676;45,180022;43,293466;25,668314
160;159;339;640;806;927;294,18017;124,11853;83,039304;30,418467;27,715663
140,96916;139;283;347;409;554;421,83455;279,72604;60,054261;58,477601;51,83935
162,98812;166;327;486;816;938;501,53243;164,9679;97,457318;38,037521;18,93421
159,86678;163;330;449;648;810;532,76086;208,62126;68,889313;64,927366;42,525294
165,66005;169;323;481;668;812;506,85295;215,77429;94,635438;81,874393;64,747237
164,24294;170;322;496;606;666;559,05443;236,36974;97,51061;82,48592;66,66692
161,20907;161;321;481;642;793;340,77576;256,68112;106,8095;90,063682;24,169456
167,10183;170;330;491;649;835;340,47131;228,21788;96,525339;31,034254;28,653096
157,50615;158;315;631;816;1077;724,13999;179,16798;77,332469;31,270146;20,715803
159,73378;161;320;477;603;653;485,94915;230,66005;50,160869;41,012564;36,210015
162,71186;164;334;496;652;838;453,93547;122,3566;86,028123;71,899184;33,78673
158,80893;314;480;636;956;1120;436,72963;147,85046;147,81159;61,894165;32,690333
182,33618;364;554;710;777;913;487,8562;89,471218;53,904327;39,385168;34,744682
150,47022;154;302;455;603;759;763,28702;748,85799;153,92448;116,20256;92,878093
154,71394;154;307;465;615;778;232,00051;221,98957;113,11432;34,88017;34,098041
154,0931;156;303;491;599;653;652,95769;314,04408;77,486554;67,505009;49,13947
173,44173;177;334;391;467;688;292,15497;203,41656;62,707947;59,343608;48,03932
179,43925;173;359;555;728;822;416,78176;259,55475;85,468487;64,840601;38,765108
162,98812;325;651;705;816;961;255,37509;128,78458;22,199516;18,144555;17,619188
162,98812;163;325;488;651;976;506,4415;463,56275;178,6869;153,22771;52,882231
